CaWO4_3CaCO3(40mg)_VL_260728
Température four	Temps	TG	
/°C	/s	/mg	
25.70	605	-0.0460	
25.70	608	-0.0454	
25.70	610	-0.0453	
25.70	613	-0.0458	
25.70	615	-0.0462	
25.70	618	-0.0457	
25.70	620	-0.0456	
25.70	623	-0.0460	
25.70	625	-0.0464	
25.70	628	-0.0460	
25.70	630	-0.0457	
25.70	633	-0.0464	
25.70	635	-0.0467	
25.70	638	-0.0462	
25.70	640	-0.0461	
25.70	643	-0.0465	
25.70	645	-0.0467	
25.70	648	-0.0461	
25.70	650	-0.0461	
25.70	653	-0.0466	
25.70	655	-0.0467	
25.70	658	-0.0462	
25.70	660	-0.0462	
25.70	663	-0.0467	
25.70	665	-0.0465	
25.70	668	-0.0464	
25.70	670	-0.0464	
25.70	673	-0.0469	
25.70	675	-0.0469	
25.70	678	-0.0467	
25.70	680	-0.0465	
25.71	683	-0.0470	
25.71	685	-0.0469	
25.72	688	-0.0468	
25.72	690	-0.0467	
25.73	693	-0.0471	
25.74	695	-0.0470	
25.75	698	-0.0467	
25.76	700	-0.0470	
25.77	703	-0.0473	
25.79	705	-0.0474	
25.81	708	-0.0470	
25.83	710	-0.0474	
25.85	713	-0.0477	
25.88	715	-0.0472	
25.91	718	-0.0471	
25.95	720	-0.0474	
25.99	723	-0.0476	
26.03	725	-0.0475	
26.08	728	-0.0473	
26.13	730	-0.0479	
26.19	733	-0.0479	
26.25	735	-0.0475	
26.31	738	-0.0472	
26.39	740	-0.0478	
26.47	743	-0.0479	
26.55	745	-0.0474	
26.64	748	-0.0473	
26.74	750	-0.0479	
26.84	753	-0.0479	
26.95	755	-0.0476	
27.07	758	-0.0475	
27.19	760	-0.0478	
27.32	763	-0.0480	
27.46	765	-0.0476	
27.61	768	-0.0476	
27.76	770	-0.0478	
27.92	773	-0.0479	
28.09	775	-0.0476	
28.27	778	-0.0476	
28.46	780	-0.0479	
28.65	783	-0.0479	
28.86	785	-0.0475	
29.07	788	-0.0478	
29.29	790	-0.0478	
29.52	793	-0.0478	
29.76	795	-0.0478	
30.00	798	-0.0480	
30.26	800	-0.0478	
30.52	803	-0.0478	
30.80	805	-0.0476	
31.08	808	-0.0480	
31.36	810	-0.0481	
31.66	813	-0.0478	
31.97	815	-0.0476	
32.29	818	-0.0479	
32.61	820	-0.0480	
32.94	823	-0.0479	
33.28	825	-0.0474	
33.64	828	-0.0479	
33.99	830	-0.0479	
34.36	833	-0.0474	
34.73	835	-0.0474	
35.11	838	-0.0478	
35.50	840	-0.0478	
35.90	843	-0.0475	
36.31	845	-0.0472	
36.72	848	-0.0476	
37.14	850	-0.0478	
37.57	853	-0.0474	
38.00	855	-0.0473	
38.45	858	-0.0477	
38.89	860	-0.0477	
39.35	863	-0.0474	
39.81	865	-0.0474	
40.28	868	-0.0477	
40.75	870	-0.0478	
41.23	873	-0.0474	
41.71	875	-0.0475	
42.20	878	-0.0477	
42.69	880	-0.0476	
43.19	883	-0.0474	
43.69	885	-0.0476	
44.20	888	-0.0480	
44.71	890	-0.0477	
45.23	893	-0.0476	
45.75	895	-0.0478	
46.27	898	-0.0480	
46.79	900	-0.0479	
47.32	903	-0.0477	
47.85	905	-0.0479	
48.39	908	-0.0482	
48.92	910	-0.0479	
49.46	913	-0.0478	
50.00	915	-0.0482	
50.54	918	-0.0484	
51.08	920	-0.0481	
51.63	923	-0.0481	
52.17	925	-0.0484	
52.72	928	-0.0486	
53.27	930	-0.0485	
53.82	933	-0.0481	
54.37	935	-0.0486	
54.92	938	-0.0489	
55.47	940	-0.0484	
56.02	943	-0.0484	
56.57	945	-0.0489	
57.12	948	-0.0489	
57.67	950	-0.0487	
58.23	953	-0.0487	
58.78	955	-0.0491	
59.33	958	-0.0491	
59.88	960	-0.0490	
60.43	963	-0.0490	
60.98	965	-0.0491	
61.53	968	-0.0494	
62.08	970	-0.0492	
62.63	973	-0.0492	
63.17	975	-0.0496	
63.72	978	-0.0495	
64.27	980	-0.0491	
64.81	983	-0.0496	
65.35	985	-0.0498	
65.89	988	-0.0498	
66.43	990	-0.0496	
66.97	993	-0.0500	
67.51	995	-0.0501	
68.05	998	-0.0500	
68.58	1000	-0.0500	
69.12	1003	-0.0503	
69.65	1005	-0.0507	
70.18	1008	-0.0503	
70.71	1010	-0.0502	
71.24	1013	-0.0505	
71.77	1015	-0.0507	
72.30	1018	-0.0505	
72.82	1020	-0.0503	
73.34	1023	-0.0510	
73.87	1025	-0.0511	
74.39	1028	-0.0507	
74.91	1030	-0.0506	
75.43	1033	-0.0510	
75.95	1035	-0.0512	
76.47	1038	-0.0510	
76.99	1040	-0.0509	
77.50	1043	-0.0513	
78.02	1045	-0.0518	
78.53	1048	-0.0513	
79.04	1050	-0.0514	
79.56	1053	-0.0518	
80.07	1055	-0.0517	
80.57	1058	-0.0513	
81.08	1060	-0.0514	
81.59	1063	-0.0517	
82.10	1065	-0.0516	
82.61	1068	-0.0513	
83.11	1070	-0.0516	
83.62	1073	-0.0519	
84.12	1075	-0.0518	
84.62	1078	-0.0517	
85.13	1080	-0.0520	
85.63	1083	-0.0523	
86.13	1085	-0.0519	
86.63	1088	-0.0519	
87.13	1090	-0.0526	
87.63	1093	-0.0524	
88.12	1095	-0.0521	
88.62	1098	-0.0521	
89.12	1100	-0.0527	
89.61	1103	-0.0528	
90.10	1105	-0.0526	
90.60	1108	-0.0525	
91.09	1110	-0.0529	
91.58	1113	-0.0530	
92.07	1115	-0.0527	
92.56	1118	-0.0528	
93.05	1120	-0.0533	
93.54	1123	-0.0532	
94.03	1125	-0.0532	
94.51	1128	-0.0530	
95.00	1130	-0.0536	
95.49	1133	-0.0536	
95.97	1135	-0.0533	
96.46	1138	-0.0532	
96.94	1140	-0.0536	
97.42	1143	-0.0537	
97.91	1145	-0.0533	
98.39	1148	-0.0536	
98.88	1150	-0.0539	
99.36	1153	-0.0537	
99.84	1155	-0.0537	
100.32	1158	-0.0538	
100.80	1160	-0.0541	
101.28	1163	-0.0539	
101.76	1165	-0.0537	
102.24	1168	-0.0541	
102.72	1170	-0.0543	
103.20	1173	-0.0539	
103.67	1175	-0.0538	
104.15	1178	-0.0543	
104.63	1180	-0.0547	
105.10	1183	-0.0543	
105.58	1185	-0.0542	
106.06	1188	-0.0546	
106.54	1190	-0.0548	
107.01	1193	-0.0544	
107.49	1195	-0.0542	
107.97	1198	-0.0550	
108.45	1200	-0.0550	
108.92	1203	-0.0547	
109.40	1205	-0.0547	
109.88	1208	-0.0549	
110.35	1210	-0.0552	
110.83	1213	-0.0547	
111.31	1215	-0.0546	
111.78	1218	-0.0551	
112.26	1220	-0.0553	
112.74	1223	-0.0548	
113.21	1225	-0.0549	
113.69	1228	-0.0554	
114.16	1230	-0.0555	
114.64	1233	-0.0550	
115.11	1235	-0.0554	
115.59	1238	-0.0556	
116.06	1240	-0.0555	
116.54	1243	-0.0551	
117.01	1245	-0.0557	
117.49	1248	-0.0558	
117.96	1250	-0.0559	
118.44	1253	-0.0556	
118.91	1255	-0.0558	
119.39	1258	-0.0561	
119.86	1260	-0.0558	
120.34	1263	-0.0557	
120.81	1265	-0.0563	
121.29	1268	-0.0564	
121.77	1270	-0.0561	
