CaWO4_3CaCO3(40mg)_VL_260728
Température four	Temps	TG	
/°C	/s	/mg	
25.70	648	0.0031	
25.70	650	0.0031	
25.70	653	0.0031	
25.70	655	0.0031	
25.70	658	0.0031	
25.70	660	0.0031	
25.70	663	0.0031	
25.70	665	0.0031	
25.70	668	0.0031	
25.70	670	0.0031	
25.70	673	0.0031	
25.70	675	0.0031	
25.70	678	0.0031	
25.70	680	0.0031	
25.71	683	0.0031	
25.71	685	0.0031	
25.72	688	0.0031	
25.72	690	0.0031	
25.73	693	0.0031	
25.74	695	0.0031	
25.75	698	0.0031	
25.76	700	0.0031	
25.77	703	0.0031	
25.79	705	0.0031	
25.81	708	0.0031	
25.83	710	0.0031	
25.85	713	0.0031	
25.88	715	0.0031	
25.91	718	0.0031	
25.95	720	0.0031	
25.99	723	0.0031	
26.03	725	0.0031	
26.08	728	0.0031	
26.13	730	0.0031	
26.19	733	0.0031	
26.25	735	0.0031	
26.31	738	0.0031	
26.39	740	0.0031	
26.47	743	0.0031	
26.55	745	0.0031	
26.64	748	0.0031	
26.74	750	0.0031	
26.84	753	0.0031	
26.95	755	0.0031	
27.07	758	0.0031	
27.19	760	0.0031	
27.32	763	0.0031	
27.46	765	0.0031	
27.61	768	0.0031	
27.76	770	0.0031	
27.92	773	0.0031	
28.09	775	0.0031	
28.27	778	0.0031	
28.46	780	0.0031	
28.65	783	0.0031	
28.86	785	0.0031	
29.07	788	0.0031	
29.29	790	0.0031	
29.52	793	0.0031	
29.76	795	0.0031	
30.00	798	0.0031	
30.26	800	0.0031	
30.52	803	0.0031	
30.80	805	0.0031	
31.08	808	0.0031	
31.36	810	0.0031	
31.66	813	0.0031	
31.97	815	0.0031	
32.29	818	0.0031	
32.61	820	0.0031	
32.94	823	0.0031	
33.28	825	0.0031	
33.64	828	0.0031	
33.99	830	0.0031	
34.36	833	0.0031	
34.73	835	0.0031	
35.11	838	0.0031	
35.50	840	0.0031	
35.90	843	0.0031	
36.31	845	0.0031	
36.72	848	0.0031	
37.14	850	0.0031	
37.57	853	0.0031	
38.00	855	0.0031	
38.45	858	0.0031	
38.89	860	0.0031	
39.35	863	0.0031	
39.81	865	0.0031	
40.28	868	0.0031	
40.75	870	0.0031	
41.23	873	0.0031	
41.71	875	0.0031	
42.20	878	0.0031	
42.69	880	0.0031	
43.19	883	0.0031	
43.69	885	0.0031	
44.20	888	0.0031	
44.71	890	0.0031	
45.23	893	0.0031	
45.75	895	0.0031	
46.27	898	0.0031	
46.79	900	0.0031	
47.32	903	0.0031	
47.85	905	0.0031	
48.39	908	0.0031	
48.92	910	0.0031	
49.46	913	0.0031	
50.00	915	0.0042	
50.54	918	0.0042	
51.08	920	0.0042	
51.63	923	0.0042	
52.17	925	0.0042	
52.72	928	0.0042	
53.27	930	0.0042	
53.82	933	0.0042	
54.37	935	0.0042	
54.92	938	0.0042	
55.47	940	0.0042	
56.02	943	0.0042	
56.57	945	0.0043	
57.12	948	0.0043	
57.67	950	0.0043	
58.23	953	0.0043	
58.78	955	0.0043	
59.33	958	0.0043	
59.88	960	0.0043	
60.43	963	0.0043	
60.98	965	0.0043	
61.53	968	0.0043	
62.08	970	0.0043	
62.63	973	0.0043	
63.17	975	0.0043	
63.72	978	0.0043	
64.27	980	0.0043	
64.81	983	0.0043	
65.35	985	0.0043	
65.89	988	0.0044	
66.43	990	0.0044	
66.97	993	0.0043	
67.51	995	0.0042	
68.05	998	0.0042	
68.58	1000	0.0043	
69.12	1003	0.0043	
69.65	1005	0.0045	
70.18	1008	0.0045	
70.71	1010	0.0043	
71.24	1013	0.0043	
71.77	1015	0.0044	
72.30	1018	0.0044	
72.82	1020	0.0044	
73.34	1023	0.0044	
73.87	1025	0.0044	
74.39	1028	0.0044	
74.91	1030	0.0044	
75.43	1033	0.0044	
75.95	1035	0.0043	
76.47	1038	0.0043	
76.99	1040	0.0042	
77.50	1043	0.0042	
78.02	1045	0.0042	
78.53	1048	0.0042	
79.04	1050	0.0042	
79.56	1053	0.0043	
80.07	1055	0.0043	
80.57	1058	0.0043	
81.08	1060	0.0043	
81.59	1063	0.0040	
82.10	1065	0.0040	
82.61	1068	0.0043	
83.11	1070	0.0043	
83.62	1073	0.0038	
84.12	1075	0.0038	
84.62	1078	0.0043	
85.13	1080	0.0043	
85.63	1083	0.0042	
86.13	1085	0.0042	
86.63	1088	0.0043	
87.13	1090	0.0043	
87.63	1093	0.0044	
88.12	1095	0.0044	
88.62	1098	0.0044	
89.12	1100	0.0044	
89.61	1103	0.0044	
90.10	1105	0.0044	
90.60	1108	0.0044	
91.09	1110	0.0044	
91.58	1113	0.0043	
92.07	1115	0.0043	
92.56	1118	0.0044	
93.05	1120	0.0044	
93.54	1123	0.0044	
94.03	1125	0.0044	
94.51	1128	0.0044	
95.00	1130	0.0044	
95.49	1133	0.0044	
95.97	1135	0.0044	
96.46	1138	0.0044	
96.94	1140	0.0045	
97.42	1143	0.0045	
97.91	1145	0.0045	
98.39	1148	0.0045	
98.88	1150	0.0045	
99.36	1153	0.0045	
99.84	1155	0.0044	
100.32	1158	0.0044	
100.80	1160	0.0044	
101.28	1163	0.0044	
101.76	1165	0.0044	
102.24	1168	0.0044	
102.72	1170	0.0044	
103.20	1173	0.0044	
103.67	1175	0.0044	
104.15	1178	0.0044	
104.63	1180	0.0042	
105.10	1183	0.0042	
105.58	1185	0.0044	
106.06	1188	0.0044	
106.54	1190	0.0044	
107.01	1193	0.0044	
107.49	1195	0.0044	
107.97	1198	0.0044	
108.45	1200	0.0044	
108.92	1203	0.0041	
109.40	1205	0.0041	
109.88	1208	0.0046	
110.35	1210	0.0046	
110.83	1213	0.0041	
111.31	1215	0.0041	
111.78	1218	0.0046	
112.26	1220	0.0046	
112.74	1223	0.0041	
113.21	1225	0.0041	
113.69	1228	0.0046	
114.16	1230	0.0046	
114.64	1233	0.0040	
115.11	1235	0.0040	
115.59	1238	0.0047	
116.06	1240	0.0047	
116.54	1243	0.0041	
117.01	1245	0.0041	
117.49	1248	0.0041	
117.96	1250	0.0047	
118.44	1253	0.0047	
118.91	1255	0.0043	
119.39	1258	0.0043	
119.86	1260	0.0047	
120.34	1263	0.0047	
120.81	1265	0.0045	
121.29	1268	0.0045	
121.77	1270	0.0046	
122.24	1273	0.0046	
122.72	1275	0.0046	
123.19	1278	0.0046	
123.67	1280	0.0046	
124.14	1283	0.0046	
124.61	1285	0.0046	
125.09	1288	0.0046	
125.56	1290	0.0047	
126.03	1293	0.0047	
126.50	1295	0.0047	
126.98	1298	0.0046	
127.45	1300	0.0046	
127.92	1303	0.0046	
128.39	1305	0.0046	
128.86	1308	0.0046	
129.32	1310	0.0046	
129.79	1313	0.0046	
130.26	1315	0.0046	
130.73	1318	0.0046	
131.20	1320	0.0046	
131.66	1323	0.0046	
132.13	1325	0.0046	
132.60	1328	0.0046	
133.06	1330	0.0046	
133.52	1333	0.0045	
133.99	1335	0.0045	
134.46	1338	0.0045	
134.92	1340	0.0045	
135.38	1343	0.0045	
135.85	1345	0.0045	
136.31	1348	0.0045	
136.78	1350	0.0044	
137.24	1353	0.0044	
137.71	1355	0.0044	
138.17	1358	0.0044	
138.64	1360	0.0045	
139.10	1363	0.0045	
139.56	1365	0.0046	
140.03	1368	0.0046	
140.49	1370	0.0046	
140.95	1373	0.0046	
141.41	1375	0.0046	
141.88	1378	0.0045	
142.34	1380	0.0045	
142.79	1383	0.0046	
143.25	1385	0.0046	
143.71	1388	0.0047	
144.17	1390	0.0047	
144.63	1393	0.0047	
145.08	1395	0.0047	
145.54	1398	0.0047	
146.00	1400	0.0047	
146.46	1403	0.0047	
146.91	1405	0.0046	
147.37	1408	0.0046	
147.83	1410	0.0045	
148.29	1413	0.0045	
148.74	1415	0.0045	
149.20	1418	0.0045	
149.66	1420	0.0049	
150.12	1423	0.0049	
150.58	1425	0.0045	
151.04	1428	0.0045	
151.50	1430	0.0049	
151.96	1433	0.0049	
152.42	1435	0.0049	
152.88	1438	0.0044	
153.34	1440	0.0044	
153.79	1443	0.0050	
154.25	1445	0.0050	
154.71	1448	0.0044	
155.17	1450	0.0044	
155.63	1453	0.0051	
156.09	1455	0.0051	
156.55	1458	0.0045	
157.00	1460	0.0045	
157.46	1463	0.0045	
157.92	1465	0.0048	
158.38	1468	0.0048	
158.84	1470	0.0048	
159.29	1473	0.0048	
159.75	1475	0.0049	
160.21	1478	0.0049	
160.67	1480	0.0047	
161.13	1483	0.0047	
161.59	1485	0.0049	
162.05	1488	0.0049	
162.52	1490	0.0049	
162.98	1493	0.0049	
163.44	1495	0.0049	
163.90	1498	0.0047	
164.36	1500	0.0047	
164.82	1503	0.0049	
165.28	1505	0.0049	
165.74	1508	0.0046	
166.20	1510	0.0046	
166.66	1513	0.0049	
167.12	1515	0.0049	
167.57	1518	0.0047	
168.03	1520	0.0047	
168.49	1523	0.0047	
168.94	1525	0.0050	
169.40	1528	0.0050	
169.86	1530	0.0048	
170.32	1533	0.0048	
170.77	1535	0.0050	
171.23	1538	0.0050	
171.68	1540	0.0046	
172.13	1543	0.0046	
172.59	1545	0.0051	
173.04	1548	0.0051	
173.49	1550	0.0051	
173.94	1553	0.0046	
174.39	1555	0.0046	
174.84	1558	0.0049	
175.29	1560	0.0049	
175.74	1563	0.0046	
176.19	1565	0.0046	
176.64	1568	0.0051	
177.09	1570	0.0051	
177.53	1573	0.0045	
177.98	1575	0.0045	
178.43	1578	0.0045	
178.88	1580	0.0049	
179.33	1583	0.0049	
179.77	1585	0.0045	
180.22	1588	0.0045	
180.67	1590	0.0052	
181.12	1593	0.0052	
181.57	1595	0.0044	
182.02	1598	0.0044	
182.47	1600	0.0044	
182.92	1603	0.0053	
183.37	1605	0.0053	
183.82	1608	0.0049	
184.27	1610	0.0049	
184.72	1613	0.0049	
185.17	1615	0.0049	
185.62	1618	0.0052	
186.06	1620	0.0052	
186.51	1623	0.0050	
186.96	1625	0.0050	
187.40	1628	0.0050	
187.85	1630	0.0052	
188.29	1633	0.0052	
188.74	1635	0.0050	
189.19	1638	0.0050	
189.63	1640	0.0053	
190.08	1643	0.0053	
190.52	1645	0.0051	
190.97	1648	0.0051	
191.41	1650	0.0051	
191.85	1653	0.0053	
192.30	1655	0.0053	
192.74	1658	0.0050	
193.19	1660	0.0050	
193.63	1663	0.0051	
194.07	1665	0.0051	
194.52	1668	0.0049	
194.96	1670	0.0049	
195.40	1673	0.0049	
195.84	1675	0.0051	
196.28	1678	0.0051	
196.73	1680	0.0047	
197.17	1683	0.0047	
197.61	1685	0.0049	
198.05	1688	0.0049	
198.49	1690	0.0049	
198.93	1693	0.0053	
199.37	1695	0.0053	
199.80	1698	0.0048	
200.25	1700	0.0048	
200.68	1703	0.0055	
201.12	1705	0.0055	
201.56	1708	0.0047	
202.00	1710	0.0047	
202.43	1713	0.0047	
202.87	1715	0.0053	
203.31	1718	0.0053	
203.75	1720	0.0043	
204.18	1723	0.0043	
204.62	1725	0.0054	
205.06	1728	0.0054	
205.50	1730	0.0046	
205.94	1733	0.0046	
206.37	1735	0.0046	
206.81	1738	0.0052	
207.25	1740	0.0052	
207.69	1743	0.0046	
208.13	1745	0.0046	
208.57	1748	0.0056	
209.01	1750	0.0056	
209.45	1753	0.0056	
209.89	1755	0.0047	
210.33	1758	0.0047	
210.77	1760	0.0056	
211.21	1763	0.0056	
211.65	1765	0.0053	
212.09	1768	0.0053	
212.53	1770	0.0051	
212.97	1773	0.0051	
213.40	1775	0.0051	
213.84	1778	0.0056	
214.28	1780	0.0056	
214.72	1783	0.0049	
215.16	1785	0.0049	
215.60	1788	0.0057	
216.03	1790	0.0057	
216.47	1793	0.0057	
216.91	1795	0.0049	
217.35	1798	0.0049	
217.78	1800	0.0056	
218.22	1803	0.0056	
218.66	1805	0.0049	
219.09	1808	0.0049	
219.53	1810	0.0057	
219.96	1813	0.0057	
220.40	1815	0.0057	
220.84	1818	0.0047	
221.27	1820	0.0047	
221.71	1823	0.0058	
222.15	1825	0.0058	
222.58	1828	0.0050	
223.02	1830	0.0050	
223.46	1833	0.0050	
223.90	1835	0.0050	
224.34	1838	0.0050	
224.77	1840	0.0055	
225.21	1843	0.0055	
225.65	1845	0.0051	
226.09	1848	0.0051	
226.52	1850	0.0057	
226.96	1853	0.0057	
227.40	1855	0.0057	
227.84	1858	0.0044	
228.28	1860	0.0044	
228.72	1863	0.0057	
229.16	1865	0.0057	
229.59	1868	0.0046	
230.03	1870	0.0046	
230.46	1873	0.0046	
230.90	1875	0.0056	
231.34	1878	0.0056	
231.77	1880	0.0053	
232.21	1883	0.0053	
232.64	1885	0.0056	
233.08	1888	0.0056	
233.52	1890	0.0054	
233.95	1893	0.0054	
234.39	1895	0.0054	
234.82	1898	0.0052	
235.26	1900	0.0052	
235.69	1903	0.0063	
236.13	1905	0.0063	
236.57	1908	0.0052	
237.00	1910	0.0052	
237.44	1913	0.0052	
237.87	1915	0.0063	
238.31	1918	0.0063	
238.75	1920	0.0054	
239.18	1923	0.0054	
239.62	1925	0.0060	
240.05	1928	0.0060	
240.48	1930	0.0060	
240.92	1933	0.0050	
241.35	1935	0.0050	
241.79	1938	0.0063	
242.22	1940	0.0063	
242.66	1943	0.0056	
243.09	1945	0.0056	
243.52	1948	0.0054	
243.96	1950	0.0054	
244.39	1953	0.0054	
244.82	1955	0.0061	
245.26	1958	0.0061	
245.69	1960	0.0054	
246.13	1963	0.0054	
246.56	1965	0.0061	
246.99	1968	0.0061	
247.43	1970	0.0061	
247.86	1973	0.0054	
248.29	1975	0.0054	
248.72	1978	0.0057	
249.15	1980	0.0057	
249.58	1983	0.0057	
250.02	1985	0.0057	
250.44	1988	0.0057	
250.88	1990	0.0057	
251.30	1993	0.0057	
251.73	1995	0.0057	
252.16	1998	0.0057	
252.59	2000	0.0057	
253.02	2003	0.0057	
253.45	2005	0.0057	
253.88	2008	0.0061	
254.30	2010	0.0061	
254.73	2013	0.0057	
255.16	2015	0.0057	
255.59	2018	0.0063	
256.02	2020	0.0063	
256.45	2023	0.0063	
256.88	2025	0.0056	
257.31	2028	0.0056	
257.73	2030	0.0059	
258.16	2033	0.0059	
258.59	2035	0.0059	
259.02	2038	0.0059	
259.45	2040	0.0059	
259.87	2043	0.0059	
260.30	2045	0.0059	
260.74	2048	0.0059	
261.16	2050	0.0059	
261.59	2053	0.0059	
262.02	2055	0.0059	
262.45	2058	0.0059	
262.88	2060	0.0066	
263.31	2063	0.0066	
263.74	2065	0.0058	
264.17	2068	0.0058	
264.60	2070	0.0068	
265.03	2073	0.0068	
265.46	2075	0.0068	
265.89	2078	0.0056	
266.31	2080	0.0056	
266.74	2083	0.0069	
267.17	2085	0.0069	
267.60	2088	0.0057	
268.02	2090	0.0057	
268.45	2093	0.0057	
268.87	2095	0.0060	
269.30	2098	0.0060	
269.72	2100	0.0060	
270.15	2103	0.0060	
270.57	2105	0.0060	
271.00	2108	0.0060	
271.42	2110	0.0060	
271.84	2113	0.0066	
272.27	2115	0.0066	
272.69	2118	0.0057	
273.12	2120	0.0057	
273.54	2123	0.0067	
273.97	2125	0.0067	
274.40	2128	0.0067	
274.82	2130	0.0057	
275.25	2133	0.0057	
275.68	2135	0.0066	
276.11	2138	0.0066	
276.54	2140	0.0058	
276.97	2143	0.0058	
277.40	2145	0.0058	
277.83	2148	0.0061	
278.26	2150	0.0061	
278.69	2153	0.0061	
279.12	2155	0.0061	
279.55	2158	0.0062	
279.98	2160	0.0062	
280.41	2163	0.0062	
280.84	2165	0.0064	
281.27	2168	0.0064	
281.70	2170	0.0062	
282.13	2173	0.0062	
282.56	2175	0.0068	
282.99	2178	0.0068	
283.41	2180	0.0068	
283.84	2183	0.0060	
284.27	2185	0.0060	
284.70	2188	0.0067	
285.12	2190	0.0067	
285.55	2193	0.0054	
285.98	2195	0.0054	
286.41	2198	0.0054	
286.83	2200	0.0069	
287.26	2203	0.0069	
287.69	2205	0.0053	
288.11	2208	0.0053	
288.54	2210	0.0063	
288.97	2213	0.0063	
289.39	2215	0.0063	
289.82	2218	0.0072	
290.25	2220	0.0072	
290.67	2223	0.0058	
291.10	2225	0.0058	
291.52	2228	0.0072	
291.95	2230	0.0072	
292.38	2233	0.0072	
292.80	2235	0.0059	
293.23	2238	0.0059	
293.65	2240	0.0064	
294.07	2243	0.0064	
294.49	2245	0.0064	
294.91	2248	0.0063	
295.34	2250	0.0063	
295.76	2253	0.0063	
296.18	2255	0.0063	
296.60	2258	0.0050	
297.02	2260	0.0050	
297.44	2263	0.0050	
297.86	2265	0.0070	
298.28	2268	0.0070	
298.70	2270	0.0062	
299.12	2273	0.0062	
299.54	2275	0.0059	
299.96	2278	0.0059	
300.38	2280	0.0059	
300.80	2283	0.0071	
301.22	2285	0.0071	
301.65	2288	0.0051	
302.07	2290	0.0051	
302.50	2293	0.0051	
302.92	2295	0.0071	
303.35	2298	0.0071	
303.78	2300	0.0051	
304.20	2303	0.0051	
304.63	2305	0.0067	
305.06	2308	0.0067	
305.49	2310	0.0067	
305.92	2313	0.0067	
306.34	2315	0.0067	
306.77	2318	0.0066	
307.20	2320	0.0066	
307.63	2323	0.0072	
308.05	2325	0.0072	
308.48	2328	0.0072	
308.91	2330	0.0066	
309.33	2333	0.0066	
309.76	2335	0.0073	
310.18	2338	0.0073	
310.61	2340	0.0058	
311.03	2343	0.0058	
311.46	2345	0.0058	
311.88	2348	0.0074	
312.31	2350	0.0074	
312.73	2353	0.0059	
313.15	2355	0.0059	
313.58	2358	0.0068	
314.00	2360	0.0068	
314.43	2363	0.0068	
314.85	2365	0.0068	
315.28	2368	0.0068	
315.71	2370	0.0068	
316.13	2373	0.0068	
316.55	2375	0.0076	
316.98	2378	0.0076	
317.41	2380	0.0076	
317.84	2383	0.0055	
318.26	2385	0.0055	
318.69	2388	0.0075	
319.12	2390	0.0075	
319.55	2393	0.0055	
319.97	2395	0.0055	
320.40	2398	0.0055	
320.83	2400	0.0076	
321.26	2403	0.0076	
321.69	2405	0.0056	
322.12	2408	0.0056	
322.55	2410	0.0076	
322.98	2413	0.0076	
323.41	2415	0.0076	
323.84	2418	0.0067	
324.26	2420	0.0067	
324.69	2423	0.0063	
325.12	2425	0.0063	
325.54	2428	0.0076	
325.97	2430	0.0076	
326.40	2433	0.0076	
326.82	2435	0.0055	
327.25	2438	0.0055	
327.67	2440	0.0075	
328.10	2443	0.0075	
328.53	2445	0.0056	
328.96	2448	0.0056	
329.39	2450	0.0056	
329.81	2453	0.0075	
330.24	2455	0.0075	
330.67	2458	0.0058	
331.10	2460	0.0058	
331.53	2463	0.0078	
331.95	2465	0.0078	
332.38	2468	0.0078	
332.80	2470	0.0069	
333.23	2473	0.0069	
333.66	2475	0.0069	
334.08	2478	0.0069	
334.51	2480	0.0078	
334.93	2483	0.0078	
335.35	2485	0.0078	
335.78	2488	0.0061	
336.20	2490	0.0061	
336.63	2493	0.0077	
337.04	2495	0.0077	
337.47	2498	0.0077	
337.89	2500	0.0062	
338.32	2503	0.0062	
338.74	2505	0.0078	
339.16	2508	0.0078	
339.58	2510	0.0062	
340.00	2513	0.0062	
340.41	2515	0.0062	
340.83	2518	0.0080	
341.25	2520	0.0080	
341.66	2523	0.0075	
342.08	2525	0.0075	
342.49	2528	0.0075	
342.90	2530	0.0074	
343.32	2533	0.0074	
343.73	2535	0.0073	
344.15	2538	0.0073	
344.56	2540	0.0059	
344.98	2543	0.0059	
345.39	2545	0.0059	
345.80	2548	0.0083	
346.22	2550	0.0083	
346.63	2553	0.0059	
347.05	2555	0.0059	
347.46	2558	0.0059	
347.88	2560	0.0082	
348.29	2563	0.0082	
348.71	2565	0.0072	
349.12	2568	0.0072	
349.54	2570	0.0079	
349.96	2573	0.0079	
350.38	2575	0.0079	
350.80	2578	0.0074	
351.21	2580	0.0074	
351.63	2583	0.0057	
352.04	2585	0.0057	
352.46	2588	0.0057	
352.88	2590	0.0083	
353.30	2593	0.0083	
353.71	2595	0.0059	
354.13	2598	0.0059	
354.55	2600	0.0083	
354.97	2603	0.0083	
355.39	2605	0.0083	
355.81	2608	0.0074	
356.24	2610	0.0074	
356.66	2613	0.0079	
357.08	2615	0.0079	
357.50	2618	0.0076	
357.92	2620	0.0076	
358.35	2623	0.0076	
358.77	2625	0.0077	
359.20	2628	0.0077	
359.63	2630	0.0078	
360.05	2633	0.0078	
360.48	2635	0.0078	
360.90	2638	0.0064	
361.32	2640	0.0064	
361.75	2643	0.0084	
362.17	2645	0.0084	
362.60	2648	0.0064	
363.02	2650	0.0064	
363.44	2653	0.0064	
363.86	2655	0.0083	
364.28	2658	0.0083	
364.70	2660	0.0074	
365.12	2663	0.0074	
365.53	2665	0.0085	
365.95	2668	0.0085	
366.37	2670	0.0085	
366.78	2673	0.0078	
367.20	2675	0.0078	
367.61	2678	0.0078	
368.03	2680	0.0078	
368.45	2683	0.0078	
368.86	2685	0.0078	
369.28	2688	0.0078	
369.70	2690	0.0063	
370.12	2693	0.0063	
370.54	2695	0.0087	
370.96	2698	0.0087	
371.38	2700	0.0087	
371.81	2703	0.0076	
372.23	2705	0.0076	
372.65	2708	0.0085	
373.08	2710	0.0085	
373.50	2713	0.0079	
373.93	2715	0.0079	
374.36	2718	0.0079	
374.78	2720	0.0078	
375.21	2723	0.0078	
375.64	2725	0.0078	
376.07	2728	0.0078	
376.49	2730	0.0078	
376.92	2733	0.0064	
377.35	2735	0.0064	
377.78	2738	0.0088	
378.21	2740	0.0088	
378.64	2743	0.0077	
379.07	2745	0.0077	
379.49	2748	0.0077	
